  0 0.017678 0.017678 0.000000
  1 0.017760 0.017760 0.000000
  2 0.017836 0.017836 0.000000
  3 0.017906 0.017906 0.000000
  4 0.017968 0.017968 0.000000
  5 0.018023 0.018023 0.000000
  6 0.018072 0.018072 0.000000
  7 0.018112 0.018112 0.000000
  8 0.018145 0.018145 0.000000
  9 0.018169 0.018169 0.000000
 10 0.018185 0.018185 0.000000
 11 0.018191 0.018191 0.000000
 12 0.018187 0.018187 0.000000
 13 0.018172 0.018172 0.000000
 14 0.018145 0.018145 0.000000
 15 0.018106 0.018106 0.000000
 16 0.018053 0.018053 0.000000
 17 0.017984 0.017984 0.000000
 18 0.017900 0.017900 0.000000
 19 0.017797 0.017797 0.000000
 20 0.017676 0.017676 0.000000
